#@string,ra,dec,float,float,float,float,int,string
Name,RA,Dec,M_V,logAge,elogAge,logMass,Source,AltName
NGC2209,6:08:34.8,-73:50:12.0,-7.90,8.98,0.19,5.03,4,NA
NGC2213,6:10:42.2,-71:31:46.0,-6.48,9.20,0.11,4.56,0,NA
SL855,6:10:53.7,-65:02:30.0,-5.01,9.13,0.30,4.58,4,NA
NGC2210,6:11:31.5,-69:07:17.0,-8.00,10.20,0.01,5.48,4,NA
NGC2214,6:12:55.8,-68:15:38.0,-8.41,7.60,0.20,4.50,4,NA
LW431,6:13:27.0,-70:41:42.0,-4.83,9.18,0.05,3.94,4,NA
HODGE11,6:14:22.3,-69:50:50.0,-7.50,10.18,0.01,5.63,4,NA
NGC2231,6:20:42.7,-67:31:10.0,-7.03,9.18,0.11,5.18,4,NA
NGC2241,6:22:53.0,-68:55:30.0,-5.25,9.28,0.05,4.29,4,NA
NGC2249,6:25:49.8,-68:55:13.0,-6.73,8.82,0.30,4.35,4,NA
NGC2257,6:30:12.1,-64:19:42.0,-7.06,10.20,0.10,5.41,4,NA
